material,temperature_c,pressure_bar,ph,sulfur_ppm,flow_velocity_ms,service_years,corrosion_rate_mmpy
SS316,276.5,42.5,5.36,233,3.46,6,0.89
Alloy Steel,246.7,40.6,4.73,427,3.8,4,1.23
Alloy Steel,246.4,44.5,5.23,465,1.62,14,1.14
SS304,168.0,28.4,6.39,255,2.35,2,0.52
SS316,236.7,45.5,6.39,179,3.48,13,0.69
Alloy Steel,150.8,42.8,4.69,316,4.09,4,1.03
SS304,268.2,39.9,5.24,550,1.72,11,1.03
Inconel,177.7,43.0,4.72,144,1.56,7,0.62
Alloy Steel,223.5,40.0,6.75,598,4.24,1,0.96
SS304,237.2,35.1,4.47,444,3.23,8,1.09
SS304,202.0,45.7,5.69,206,3.28,6,0.73
SS316,222.0,35.4,5.91,109,1.69,1,0.55
SS304,208.5,39.7,4.4,214,2.46,1,0.87
Alloy Steel,247.6,33.7,5.26,414,1.9,9,1.09
Carbon Steel,200.5,41.6,6.37,581,1.8,4,0.98
Inconel,150.9,30.8,6.57,111,3.46,5,0.35
Alloy Steel,186.2,41.5,4.72,112,3.19,5,0.97
Alloy Steel,255.2,37.2,6.76,562,4.4,13,1.08
Inconel,202.9,41.5,6.53,279,2.05,7,0.47
Inconel,251.8,31.3,5.62,207,2.54,5,0.67
SS304,140.0,49.2,5.06,292,2.65,2,0.7
Alloy Steel,218.8,30.6,6.28,683,2.14,10,1.02
SS304,175.0,46.7,5.7,165,2.03,5,0.6
SS316,273.9,36.7,5.29,681,3.58,3,1.08
SS304,213.5,46.1,6.72,360,2.72,13,0.69
SS316,242.9,33.7,4.99,569,2.39,5,0.98
Carbon Steel,180.5,44.2,4.68,281,2.96,5,1.13
Alloy Steel,166.2,41.3,4.93,294,2.55,13,1.0
SS316,205.4,30.3,4.57,175,2.86,4,0.82
Carbon Steel,234.3,46.9,6.0,168,3.47,4,0.99
Inconel,245.8,40.6,4.94,249,3.78,13,0.89
SS304,183.2,34.5,4.36,512,3.2,6,1.03
Carbon Steel,242.5,41.8,4.78,406,3.06,3,1.27
SS316,148.4,54.2,5.41,655,1.53,3,0.73
Alloy Steel,197.3,30.1,6.17,599,4.14,3,1.01
Inconel,233.5,45.0,6.02,504,2.66,3,0.7
Inconel,149.7,39.9,5.43,286,4.11,8,0.64
Carbon Steel,189.3,48.2,4.28,503,3.95,12,1.39
Carbon Steel,170.3,29.2,5.55,597,1.62,7,1.07
SS304,153.2,34.5,6.48,308,3.19,7,0.57
Inconel,251.0,32.0,6.62,620,1.55,7,0.67
Inconel,148.6,39.7,6.31,159,1.71,1,0.3
SS304,226.3,32.0,5.61,233,1.94,12,0.78
Alloy Steel,247.3,49.4,6.31,485,2.87,14,1.04
SS304,196.6,46.1,4.3,674,1.64,9,1.08
SS316,262.3,36.7,4.51,148,1.97,9,0.91
SS316,260.1,41.5,5.27,602,4.44,14,1.13
Carbon Steel,213.1,41.2,5.55,105,1.51,6,0.92
SS304,184.9,42.3,5.74,289,2.55,9,0.72
SS304,276.6,53.2,4.91,405,2.03,7,1.02
Carbon Steel,169.2,53.4,6.49,246,1.79,4,0.76
Alloy Steel,145.6,47.6,5.31,697,1.79,10,1.03
SS304,207.2,49.8,6.32,649,2.39,12,0.84
Inconel,178.9,50.0,4.45,166,4.2,10,0.81
SS304,256.1,46.9,4.74,669,1.68,3,1.08
Alloy Steel,203.7,25.8,5.2,562,3.96,1,1.13
SS304,167.0,31.1,4.69,393,3.89,9,0.95
Inconel,172.4,53.5,4.27,183,3.21,2,0.73
SS316,236.5,27.1,6.44,566,2.24,3,0.73
SS316,145.6,32.1,5.17,209,1.72,10,0.63
Alloy Steel,214.7,45.9,6.21,125,2.78,9,0.81
Alloy Steel,151.8,30.4,5.44,492,1.94,8,0.93
Inconel,229.1,51.6,5.96,591,3.19,2,0.75
SS316,201.3,48.3,6.07,175,1.65,10,0.57
SS316,145.2,36.3,6.3,675,2.61,7,0.68
SS316,278.2,51.6,5.27,322,2.39,10,0.93
SS316,159.3,29.0,4.5,244,2.42,6,0.77
Inconel,250.0,38.7,4.3,395,4.2,4,1.01
Alloy Steel,277.6,49.2,6.05,506,3.26,2,1.08
Alloy Steel,199.3,30.6,5.15,177,2.87,6,0.95
Carbon Steel,152.9,26.7,6.28,255,3.25,12,0.88
Alloy Steel,262.7,50.3,6.68,574,3.48,4,1.02
SS316,272.2,30.2,4.87,554,3.83,5,1.11
SS304,249.1,51.2,6.04,556,3.07,14,0.96
SS316,186.9,27.9,6.24,372,2.98,6,0.64
SS316,271.0,42.6,4.98,189,3.99,9,0.97
Alloy Steel,269.5,52.6,4.95,541,3.83,4,1.29
Carbon Steel,256.7,27.6,5.84,402,3.08,8,1.17
Inconel,224.8,54.5,4.83,487,2.41,14,0.92
SS304,148.8,48.7,5.58,117,1.62,9,0.56
SS304,151.0,45.4,5.26,535,1.83,13,0.83
Carbon Steel,171.5,43.4,5.83,540,3.36,6,1.07
SS316,228.5,41.7,4.55,272,2.98,10,0.95
Inconel,193.3,48.1,6.04,124,3.14,13,0.55
Inconel,208.9,35.2,5.38,308,3.39,9,0.74
Inconel,189.5,46.6,5.35,493,2.52,2,0.7
Alloy Steel,264.1,32.5,6.37,375,2.32,3,0.92
SS316,265.2,39.9,5.62,673,4.16,5,1.05
SS304,229.4,30.1,6.44,419,2.73,5,0.73
SS304,156.0,47.2,6.2,681,3.82,7,0.81
SS316,259.3,54.8,6.32,611,3.38,5,0.87
SS304,221.9,31.4,6.51,696,1.76,6,0.79
Alloy Steel,212.1,45.7,4.4,583,1.92,12,1.25
Inconel,169.8,27.4,5.66,108,2.74,3,0.47
SS304,278.1,52.4,6.06,163,2.22,5,0.74
Alloy Steel,261.8,47.4,4.77,143,3.65,5,1.13
Inconel,234.8,53.4,5.86,550,3.75,2,0.79
SS316,266.3,26.5,5.56,119,2.91,14,0.82
SS316,274.2,25.8,6.77,293,4.03,6,0.73
Alloy Steel,154.5,31.9,5.22,202,2.98,3,0.85
Alloy Steel,267.4,53.2,4.23,536,2.43,12,1.38
Alloy Steel,169.2,39.9,5.1,339,2.58,6,0.96
SS304,238.2,46.6,5.34,185,3.42,1,0.81
SS316,229.3,42.6,4.8,487,2.5,13,1.01
SS304,186.1,42.9,4.68,270,2.75,3,0.84
SS304,213.5,43.0,5.67,492,2.42,1,0.81
Inconel,275.6,44.7,6.76,442,2.83,14,0.72
Alloy Steel,214.7,44.8,4.31,532,1.69,10,1.23
SS304,255.9,38.5,4.59,691,4.17,8,1.25
Inconel,199.8,36.6,6.19,630,3.6,12,0.77
Carbon Steel,200.6,29.3,4.64,198,1.89,2,1.07
Inconel,207.5,26.3,5.4,351,3.84,1,0.72
Carbon Steel,146.4,37.7,6.43,180,4.04,11,0.85
Carbon Steel,279.3,49.6,5.64,390,4.01,2,1.23
Carbon Steel,156.3,37.5,4.69,161,2.41,9,1.03
Carbon Steel,152.5,33.2,6.2,611,3.84,6,1.04
Alloy Steel,275.0,42.4,5.56,105,2.96,12,1.03
SS304,237.7,41.1,6.5,251,2.64,8,0.68
SS304,265.8,34.4,5.73,507,1.92,3,0.89
Carbon Steel,205.0,40.5,5.07,266,3.47,1,1.1
SS304,184.0,30.8,5.93,444,2.45,12,0.77
Carbon Steel,165.8,33.2,5.26,519,3.42,8,1.15
SS304,142.5,33.0,5.18,629,4.35,5,0.92
Inconel,263.4,43.4,6.34,427,2.16,9,0.69
Alloy Steel,192.0,45.9,5.44,601,3.53,4,1.09
SS316,212.3,39.5,5.35,281,4.46,4,0.83
Carbon Steel,215.0,29.1,5.6,187,3.16,6,1.02
Inconel,260.2,31.0,6.48,225,3.38,10,0.64
Inconel,263.3,26.5,5.64,567,1.85,7,0.83
Alloy Steel,213.5,25.7,6.06,166,3.87,7,0.88
Alloy Steel,182.8,26.5,5.96,572,4.37,14,1.09
Carbon Steel,166.7,49.2,5.91,215,2.41,13,0.92
Carbon Steel,179.8,28.7,6.6,203,3.22,14,0.88
Inconel,191.7,35.6,5.94,332,2.27,11,0.6
Inconel,177.6,26.7,5.26,131,3.15,13,0.64
Alloy Steel,227.5,54.6,5.34,139,4.37,8,1.03
Carbon Steel,188.1,43.4,4.45,312,2.25,5,1.16
Carbon Steel,178.4,46.0,4.6,164,3.1,2,1.07
Inconel,275.7,28.8,4.62,506,3.12,14,1.08
SS316,252.0,40.7,4.69,161,2.79,9,0.91
Inconel,223.1,49.2,5.31,168,2.8,5,0.66
SS316,266.3,53.6,6.39,456,2.73,8,0.8
Carbon Steel,213.8,41.1,5.34,563,3.05,10,1.24
Inconel,241.3,25.8,5.68,630,1.55,4,0.77
Alloy Steel,195.8,54.3,5.52,431,3.64,2,1.0
SS304,149.1,50.8,6.46,383,3.04,14,0.64
Carbon Steel,276.9,49.9,5.91,541,4.31,13,1.34
Carbon Steel,265.4,53.7,6.49,448,2.83,1,1.05
Inconel,272.0,51.7,5.56,422,2.43,9,0.83
SS304,190.9,43.9,5.95,226,4.01,11,0.75
SS304,276.4,36.7,6.57,235,2.07,3,0.67
SS304,271.6,29.2,4.39,434,2.37,5,1.1
Inconel,158.3,35.3,5.96,158,1.88,7,0.42
Inconel,173.5,42.7,5.35,368,2.59,3,0.63
SS316,170.7,39.9,6.34,589,3.88,1,0.7
SS316,195.1,29.0,5.52,515,3.39,5,0.84
SS316,270.4,38.5,5.94,261,2.73,4,0.76
Alloy Steel,200.8,37.5,6.18,204,2.52,8,0.81
Carbon Steel,233.2,44.4,4.84,336,3.55,13,1.3
SS316,191.0,54.7,5.74,339,4.01,3,0.73
Alloy Steel,238.4,35.6,6.52,401,3.44,5,0.93
Alloy Steel,235.7,42.6,6.39,270,3.23,5,0.88
Inconel,236.6,47.0,4.31,505,2.74,3,0.96
SS304,246.9,25.7,5.57,250,1.84,7,0.79
SS304,248.4,43.2,4.26,658,3.56,8,1.25
SS316,223.5,35.3,4.93,144,4.32,10,0.89
Carbon Steel,264.6,38.1,4.4,667,4.26,9,1.57
Carbon Steel,219.0,27.2,5.45,637,2.06,12,1.24
Carbon Steel,215.2,29.8,4.22,353,1.91,13,1.29
Alloy Steel,188.7,30.7,5.89,117,2.38,1,0.74
Alloy Steel,210.9,26.0,4.38,254,3.13,7,1.13
Alloy Steel,269.2,34.8,6.23,247,3.51,4,0.95
Inconel,243.0,40.4,6.12,644,4.26,8,0.86
Alloy Steel,174.9,42.2,4.25,250,2.19,12,1.08
Carbon Steel,200.6,28.8,5.51,436,2.51,13,1.14
Carbon Steel,231.3,52.4,6.37,512,2.57,4,1.04
SS304,208.0,31.0,4.52,307,1.91,1,0.87
Carbon Steel,146.9,38.2,5.38,280,3.21,9,1.0
Alloy Steel,200.7,45.2,5.3,623,2.5,3,1.08
Alloy Steel,253.6,45.2,4.83,421,2.71,3,1.17
SS316,154.5,36.5,6.22,358,2.5,11,0.59
Inconel,257.9,32.5,6.51,553,3.69,14,0.81
Carbon Steel,145.9,41.8,5.62,223,3.59,14,0.99
Inconel,176.3,35.3,6.78,324,3.78,12,0.52
Carbon Steel,163.8,34.5,6.51,436,3.25,3,0.89
SS304,221.2,32.1,5.24,554,3.45,3,0.97
SS304,146.2,48.9,5.23,192,4.09,13,0.78
Inconel,268.9,38.3,6.13,428,2.27,6,0.71
Alloy Steel,210.6,31.1,4.38,202,4.45,12,1.2
SS316,148.7,26.0,6.05,598,3.41,1,0.68
Carbon Steel,236.4,33.2,6.36,150,3.82,6,0.96
Carbon Steel,216.0,34.4,4.91,487,2.19,5,1.21
SS316,230.4,53.4,4.31,651,3.33,11,1.18
Inconel,172.4,27.6,4.34,626,4.42,7,1.0
Inconel,142.8,29.8,5.87,530,3.25,7,0.62
Carbon Steel,205.6,44.9,6.19,372,3.39,12,1.05
SS304,151.8,51.7,5.43,546,1.92,3,0.75
SS316,261.2,29.5,4.23,165,2.59,5,0.96
Carbon Steel,173.6,28.0,6.0,117,3.35,1,0.84
SS304,191.1,36.3,5.51,146,3.55,14,0.78
Inconel,270.5,40.7,4.31,305,1.73,5,0.91
SS304,263.6,42.2,6.46,384,4.28,14,0.9
Alloy Steel,154.0,49.2,4.55,457,2.53,8,1.07
Carbon Steel,191.2,27.3,5.9,393,1.91,11,1.0
SS316,182.5,41.8,5.94,116,2.9,7,0.57
SS304,196.1,29.9,6.31,235,3.08,12,0.67
Inconel,206.5,41.7,5.36,141,2.95,12,0.67
SS304,141.2,31.5,6.35,502,4.18,5,0.68
Inconel,184.6,30.3,5.26,166,2.82,14,0.66
Alloy Steel,166.8,33.2,5.86,380,4.07,8,0.94
Inconel,243.9,39.9,6.53,679,2.59,7,0.74
SS316,155.4,25.8,4.91,261,3.96,2,0.75
Alloy Steel,156.0,28.6,6.6,148,3.57,1,0.64
SS304,239.4,47.9,6.64,168,3.61,10,0.68
Carbon Steel,273.6,31.3,5.51,508,2.24,1,1.21
Inconel,200.4,54.0,5.97,289,3.7,2,0.59
SS316,157.6,39.3,6.15,326,4.11,9,0.65
Carbon Steel,250.1,30.1,4.48,549,2.42,7,1.38
Carbon Steel,269.7,27.5,4.91,560,3.19,8,1.4
Alloy Steel,163.3,33.4,5.56,266,2.13,7,0.83
SS304,161.8,48.1,6.07,127,2.11,12,0.56
Carbon Steel,179.7,32.3,4.85,327,3.95,13,1.22
SS316,168.3,41.3,5.86,413,2.8,13,0.72
Inconel,208.4,37.0,6.27,558,1.9,9,0.65
Inconel,156.8,53.0,4.96,627,2.35,14,0.83
Inconel,215.5,50.8,4.45,244,2.72,13,0.86
Alloy Steel,229.5,37.2,6.73,378,4.41,4,0.91
SS316,160.7,35.5,6.36,635,2.06,7,0.65
Carbon Steel,268.4,38.9,4.47,374,2.63,9,1.37
SS316,251.0,54.7,6.52,349,3.85,1,0.71
Alloy Steel,273.6,29.7,4.69,584,2.28,1,1.26
Alloy Steel,190.7,29.6,5.05,449,2.45,13,1.09
SS304,229.8,52.7,6.24,208,3.9,3,0.71
SS316,158.0,40.0,5.9,602,4.31,9,0.82
Inconel,181.7,30.5,5.8,240,1.74,10,0.53
Alloy Steel,195.4,53.6,6.58,239,3.84,1,0.76
Alloy Steel,197.0,44.5,5.13,678,4.31,13,1.27
SS304,268.8,38.5,5.59,545,3.59,14,1.08
Inconel,207.3,54.2,5.1,488,2.68,1,0.77
Alloy Steel,236.8,34.8,6.24,640,2.16,13,1.06
Carbon Steel,188.9,50.0,5.03,479,4.45,5,1.24
Inconel,231.5,27.3,5.77,658,4.05,2,0.85
SS316,187.0,41.3,4.7,422,2.34,4,0.85
SS304,257.3,25.6,4.81,554,3.26,7,1.12
Carbon Steel,233.7,36.1,4.75,630,4.44,12,1.47
Carbon Steel,230.2,30.1,6.74,392,1.67,1,0.87
SS316,166.7,52.4,5.41,295,3.8,9,0.75
SS304,200.5,35.7,5.08,302,1.59,4,0.77
Alloy Steel,140.5,46.6,6.37,337,3.19,3,0.72
SS304,228.0,38.5,4.4,501,1.91,8,1.05
Alloy Steel,193.4,48.0,5.75,656,2.7,14,1.1
SS316,214.6,39.3,5.95,443,4.46,3,0.81
SS316,141.5,50.8,5.37,102,2.7,13,0.61
Carbon Steel,206.3,48.7,4.93,602,3.43,1,1.27
Carbon Steel,257.9,46.6,6.36,220,4.17,12,1.09
Carbon Steel,269.1,46.4,5.72,641,3.99,13,1.38
SS316,175.2,39.0,6.53,189,3.98,5,0.53
Alloy Steel,160.2,41.6,4.94,239,2.7,9,0.95
SS316,214.1,45.5,5.82,191,4.03,10,0.75
SS316,231.4,32.0,5.34,613,2.03,6,0.92
Carbon Steel,183.4,47.4,5.65,629,2.42,8,1.13
SS304,154.5,35.4,4.31,340,1.89,2,0.82
Carbon Steel,250.8,43.8,5.36,155,3.36,11,1.15
SS304,225.6,27.1,6.45,271,3.35,3,0.67
Alloy Steel,263.2,27.0,6.46,335,2.6,11,0.95
Alloy Steel,144.9,46.0,4.26,617,1.97,12,1.17
Inconel,237.1,49.9,4.29,295,4.38,3,0.95
Inconel,201.3,35.8,5.67,242,4.47,6,0.68
Inconel,163.3,51.8,4.8,213,2.18,13,0.68
Alloy Steel,216.7,30.1,6.33,321,2.38,13,0.89
Carbon Steel,229.4,51.9,5.84,544,4.01,4,1.19
Carbon Steel,218.9,27.3,5.9,415,2.05,3,1.02
Carbon Steel,243.0,41.4,6.68,209,3.32,9,0.95
SS316,194.2,27.8,4.7,104,2.04,12,0.77
Inconel,150.8,35.3,5.99,399,2.07,9,0.52
Carbon Steel,245.2,43.6,5.4,216,2.41,13,1.14
Inconel,148.1,50.7,6.7,513,2.59,14,0.52
Inconel,264.0,35.9,5.88,238,3.18,11,0.74
SS316,166.1,33.8,6.22,636,3.67,11,0.78
Alloy Steel,236.7,40.8,4.95,588,2.37,11,1.23
Carbon Steel,140.9,54.7,5.15,608,3.1,4,1.13
SS316,172.1,36.8,4.9,690,4.06,7,1.01
Alloy Steel,231.8,52.3,4.44,258,4.21,4,1.19
Alloy Steel,216.5,52.6,6.78,272,3.59,14,0.86
Carbon Steel,146.8,47.3,6.14,502,3.43,2,0.94
Inconel,173.9,30.1,5.23,560,4.32,10,0.86
SS304,188.8,49.1,6.59,638,4.26,12,0.84
Inconel,168.4,34.2,5.49,211,4.29,12,0.67
Inconel,172.7,40.4,5.04,192,2.86,7,0.64
SS304,219.9,51.4,4.71,200,3.23,8,0.92
Alloy Steel,207.5,26.5,5.5,251,4.23,1,0.97
SS304,168.9,41.5,4.49,273,2.12,8,0.84
SS304,150.6,25.4,5.78,139,2.64,13,0.62
SS316,226.1,37.8,4.53,277,3.21,11,0.97
SS316,168.2,35.2,6.71,456,3.9,2,0.59
SS316,169.4,48.5,5.98,508,3.16,5,0.71
Alloy Steel,240.4,44.7,5.68,698,4.44,12,1.27
SS304,216.5,46.1,6.8,361,2.78,4,0.62
Carbon Steel,269.8,39.7,6.39,385,3.65,10,1.14
SS304,262.7,51.5,4.48,357,2.89,5,1.06
Alloy Steel,208.2,30.8,6.44,252,3.4,3,0.81
SS316,256.8,47.6,5.4,357,4.19,2,0.91
Alloy Steel,198.2,41.2,5.7,461,3.42,5,1.0
SS316,160.1,25.8,4.82,564,2.22,2,0.83
Alloy Steel,168.2,26.3,6.72,584,2.58,8,0.83
Carbon Steel,182.2,28.3,5.47,327,3.58,4,1.05
SS316,212.4,29.3,5.82,377,4.31,4,0.8
SS316,235.9,30.9,6.33,646,3.94,11,0.91
SS304,182.3,33.3,6.45,102,2.1,11,0.52
Alloy Steel,140.5,47.8,6.18,573,4.29,8,0.93
Inconel,180.5,43.4,5.63,570,2.31,8,0.71
Inconel,151.6,33.6,5.55,611,3.62,7,0.74
SS304,141.7,40.0,6.01,143,4.32,6,0.59
Alloy Steel,271.4,28.2,6.67,165,2.88,8,0.86
Carbon Steel,150.9,53.3,4.46,612,1.5,8,1.2
SS304,144.8,44.6,4.65,658,3.56,14,1.05
SS316,149.9,48.0,4.39,653,1.65,4,0.9
Carbon Steel,241.2,36.8,4.76,555,3.85,8,1.4
Alloy Steel,193.7,39.2,5.76,442,1.62,2,0.88
SS316,199.9,37.1,6.05,650,3.5,14,0.89
Inconel,225.7,29.4,6.38,355,2.16,1,0.53
Alloy Steel,204.0,49.8,5.01,330,4.23,3,1.08
SS316,278.0,44.6,5.38,632,3.58,1,1.04
Alloy Steel,181.0,41.6,4.37,181,2.04,11,1.03
SS316,232.0,47.3,5.38,150,3.81,10,0.82
Alloy Steel,171.7,51.9,6.75,488,4.25,7,0.86
Inconel,144.6,54.9,4.46,509,2.26,9,0.8
SS304,195.1,46.6,5.04,573,2.52,3,0.92
SS316,274.3,49.0,5.39,219,3.93,13,0.95
SS316,169.5,36.0,6.49,179,1.87,13,0.49
Inconel,226.7,49.6,4.66,519,1.58,7,0.88
SS304,159.7,49.6,6.5,240,1.84,2,0.46
Alloy Steel,188.2,44.9,6.54,535,3.63,6,0.91
SS316,270.9,26.9,4.7,141,4.1,6,0.97
SS304,260.6,29.0,6.32,587,3.26,5,0.9
Alloy Steel,176.1,27.2,6.1,279,2.86,8,0.82
SS316,236.4,51.8,5.84,308,2.95,11,0.79
SS316,149.5,31.5,5.4,462,2.52,9,0.74
Alloy Steel,222.5,46.7,6.21,189,2.83,14,0.89
Inconel,209.2,37.3,4.86,340,1.92,10,0.77
SS304,259.1,38.8,4.26,396,1.75,10,1.09
SS316,201.5,48.9,4.44,209,4.42,2,0.9
Alloy Steel,269.5,51.2,5.09,295,1.61,12,1.12
SS316,162.9,49.9,5.04,351,3.55,8,0.81
Alloy Steel,150.3,31.7,4.29,401,2.44,11,1.1
SS316,180.0,35.5,5.48,349,1.9,1,0.65
Carbon Steel,270.7,26.1,5.5,612,3.26,13,1.37
Inconel,243.2,37.8,4.52,418,2.64,11,0.96
SS304,185.5,32.0,4.89,232,2.09,13,0.83
Inconel,270.8,29.3,4.73,247,4.3,4,0.93
Inconel,144.1,35.2,5.72,297,1.58,7,0.47
SS304,220.6,49.7,6.22,633,4.28,4,0.9
Inconel,197.9,41.5,4.97,272,4.45,3,0.77
Carbon Steel,186.1,36.0,4.3,296,4.17,3,1.24
Alloy Steel,158.9,32.7,6.73,328,3.2,2,0.69
SS304,262.9,38.1,4.91,453,1.93,2,0.98
Alloy Steel,216.5,32.1,5.97,394,3.82,7,1.0
SS316,164.2,29.2,4.93,222,4.34,10,0.82
Carbon Steel,246.4,39.5,5.6,135,3.17,2,1.03
Alloy Steel,220.3,33.0,5.94,316,3.13,12,0.98
Alloy Steel,183.5,43.0,4.82,450,2.66,6,1.08
SS304,211.6,46.0,6.42,380,4.0,6,0.75
SS316,226.1,50.5,5.12,244,4.37,13,0.93
SS304,213.6,34.9,6.75,291,3.73,14,0.7
SS316,212.9,27.2,5.53,593,4.34,10,0.97
SS304,141.1,42.2,6.06,547,4.21,1,0.72
Alloy Steel,274.4,31.8,6.09,418,2.14,2,0.99
Alloy Steel,151.4,48.9,5.04,614,3.32,9,1.1
Carbon Steel,194.8,54.7,4.74,426,4.46,1,1.24
Alloy Steel,227.1,26.1,6.33,163,2.71,8,0.82
Inconel,201.8,49.3,5.51,521,3.74,3,0.77
Alloy Steel,175.8,32.4,6.7,140,2.79,4,0.64
Inconel,245.0,41.4,5.19,585,3.25,12,0.96
Alloy Steel,144.3,29.5,5.66,194,3.71,7,0.82
Inconel,229.5,52.7,4.59,440,3.79,14,1.0
Inconel,251.6,35.3,6.54,130,3.68,5,0.55
Alloy Steel,189.6,54.9,5.33,114,2.59,1,0.83
Inconel,257.6,54.0,5.33,435,3.39,2,0.84
Carbon Steel,168.5,27.8,4.36,260,3.22,2,1.13
SS316,226.9,51.5,5.11,431,3.43,9,0.95
Inconel,249.0,27.1,5.65,248,2.23,1,0.64
Inconel,278.3,33.7,4.57,389,3.63,2,0.98
Carbon Steel,272.5,33.4,5.75,514,2.68,12,1.26
Carbon Steel,238.2,38.2,4.95,191,3.08,7,1.17
SS304,230.4,26.3,5.61,110,3.84,14,0.83
SS316,206.1,49.0,4.32,195,2.69,7,0.88
SS304,148.6,44.7,5.41,381,2.64,13,0.77
Inconel,187.7,33.9,4.81,598,3.54,6,0.9
Carbon Steel,266.9,31.8,6.04,431,3.11,1,1.12
Inconel,267.2,38.2,6.14,658,4.22,13,0.94
Alloy Steel,203.2,28.3,5.98,283,1.95,1,0.8
SS316,155.7,38.6,4.7,636,4.39,8,1.0
Alloy Steel,158.6,50.5,6.74,194,3.11,2,0.63
Carbon Steel,276.6,41.7,5.67,278,3.25,11,1.2
Carbon Steel,195.1,26.7,5.32,566,3.16,4,1.18
Carbon Steel,224.2,43.3,5.21,352,4.0,2,1.18
SS316,172.1,37.6,6.28,423,2.4,8,0.62
SS304,259.2,53.3,6.79,269,3.23,4,0.68
Inconel,278.2,32.5,4.67,377,1.61,6,0.9
Inconel,179.3,29.2,5.98,287,4.23,9,0.62
Inconel,230.4,41.8,4.32,659,3.38,4,1.05
Inconel,266.1,48.2,5.6,189,2.55,11,0.73
Inconel,249.0,48.1,4.79,685,4.49,10,1.12
SS304,225.5,32.9,4.8,339,3.28,12,1.0
Alloy Steel,154.2,39.9,5.31,295,3.44,4,0.9
SS316,157.3,40.1,6.67,519,3.35,1,0.57
Alloy Steel,185.5,40.5,4.32,667,1.93,3,1.2
Alloy Steel,206.0,53.1,6.25,678,3.32,6,1.03
Inconel,179.2,46.4,5.64,165,4.3,10,0.63
Inconel,263.1,53.9,6.43,136,3.49,5,0.58
SS304,216.0,38.2,5.21,503,3.57,10,0.99
SS316,187.4,37.4,4.45,241,1.65,6,0.79
Carbon Steel,142.0,34.7,5.03,549,2.44,7,1.11
Alloy Steel,250.2,52.7,5.76,212,3.85,14,1.06
Carbon Steel,219.0,26.9,6.48,595,2.54,9,1.07
SS316,270.5,33.1,6.13,149,3.07,11,0.75
Alloy Steel,164.7,44.0,4.96,574,3.92,5,1.12
Carbon Steel,222.1,44.0,6.29,687,3.89,11,1.21
Carbon Steel,142.4,34.6,4.71,587,4.03,13,1.29
SS304,266.5,27.9,4.86,497,3.52,7,1.11
SS316,198.2,43.9,5.2,303,3.4,3,0.78
SS316,171.2,28.4,5.97,364,3.89,7,0.7
SS316,268.0,26.1,4.83,216,3.01,5,0.92
Alloy Steel,145.8,39.9,4.23,670,3.89,11,1.28
SS304,274.2,48.2,6.56,240,2.09,4,0.68
Inconel,261.0,46.1,4.26,276,3.17,4,0.94
Alloy Steel,269.9,44.4,6.72,306,2.55,5,0.87
SS316,191.8,30.0,4.23,472,2.72,14,1.03
Alloy Steel,278.0,39.0,6.15,206,1.54,1,0.86
Carbon Steel,151.2,47.7,4.22,675,3.05,12,1.36
Alloy Steel,268.2,37.2,4.9,158,3.88,12,1.18
Alloy Steel,176.5,50.7,5.17,110,2.67,1,0.83
SS316,262.1,36.8,4.67,102,2.49,3,0.85
Carbon Steel,197.9,37.6,4.43,221,1.96,5,1.12
SS316,268.1,32.1,5.32,173,2.87,5,0.83
Carbon Steel,212.3,51.2,4.73,124,3.52,9,1.16
Carbon Steel,229.4,42.7,4.56,606,2.93,13,1.42
Carbon Steel,197.8,39.5,5.39,684,1.64,10,1.2
SS316,194.0,46.0,4.23,302,2.41,3,0.88
Carbon Steel,173.4,31.0,5.49,640,2.47,13,1.18
SS304,181.1,43.2,5.17,403,3.45,7,0.87
SS304,225.6,46.9,5.1,501,2.27,1,0.91
Inconel,197.5,27.3,6.52,247,1.69,13,0.47
SS304,202.2,42.9,4.96,529,3.92,12,1.05
Inconel,222.7,41.0,6.64,535,4.28,5,0.68
SS304,195.3,32.6,4.61,515,1.78,13,0.99
SS316,149.6,38.4,4.63,307,3.96,1,0.8
Inconel,162.1,25.6,6.24,144,4.47,2,0.46
Alloy Steel,230.1,33.1,4.52,189,3.85,8,1.16
Alloy Steel,163.7,45.9,4.78,141,2.94,12,0.97
SS304,213.4,49.5,6.15,340,1.75,2,0.65
Alloy Steel,192.9,49.5,4.67,149,2.49,11,1.01
SS304,207.8,52.8,5.12,534,2.4,4,0.92
SS304,193.5,44.4,6.71,406,4.46,11,0.73
Alloy Steel,150.4,43.5,6.68,286,3.24,10,0.72
Alloy Steel,200.6,35.1,4.52,277,4.16,2,1.12
Carbon Steel,205.9,49.0,5.4,137,4.22,4,1.05
Inconel,269.4,42.2,4.38,431,3.23,4,1.01
SS304,227.5,39.7,6.47,428,2.94,8,0.75
Alloy Steel,173.7,38.4,4.52,122,2.46,4,0.94
Inconel,216.3,41.6,5.84,363,3.54,3,0.67
Alloy Steel,269.0,51.5,4.45,480,3.92,10,1.38
Alloy Steel,197.3,44.8,5.85,329,3.34,7,0.93
Carbon Steel,195.3,37.7,4.83,296,4.46,4,1.2
SS304,212.3,54.8,4.34,394,1.77,7,0.97
SS304,193.6,29.7,6.71,668,2.51,8,0.74
SS316,196.4,25.1,5.53,215,4.1,12,0.79
